Region,Material ID,Material Category,Material Subtype,Per Unit,kg CO2e,EF Source,EF Type,Type Rationale,Source Dataset Name
Rest-of-World,MAT-Wood-0001,Wood,Oak,kg,0.0381,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, oak, sustainable forest management: cleft timber, measured as dry mass"
Germany,MAT-Wood-0002,Wood,Oak,kg,0.0375,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, oak, sustainable forest management: cleft timber, measured as dry mass"
Global,MAT-Wood-0003,Wood,Maple,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Global,MAT-Wood-0004,Wood,Cherry,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Global,MAT-Wood-0005,Wood,Walnut,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Rest-of-World,MAT-Wood-0006,Wood,Beech,kg,0.0401,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, beech, sustainable forest management: cleft timber, measured as dry mass"
Germany,MAT-Wood-0007,Wood,Beech,kg,0.0378,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, beech, sustainable forest management: cleft timber, measured as dry mass"
Global,MAT-Wood-0008,Wood,Mahogany,kg,0.2506,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Rest-of-World,MAT-Wood-0009,Wood,Pine,kg,0.0441,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"softwood forestry, pine, sustainable forest management-cleft timber, measured as dry mass"
Germany,MAT-Wood-0010,Wood,Pine,kg,0.0456,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"softwood forestry, pine, sustainable forest management-cleft timber, measured as dry mass"
Sweden,MAT-Wood-0011,Wood,Pine,kg,0.0418,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"softwood forestry, pine, sustainable forest management-cleft timber, measured as dry mass"
Rest-of-World,MAT-Wood-0012,Wood,Birch,kg,0.0315,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, birch, sustainable forest management-cleft timber, measured as dry mass"
Sweden,MAT-Wood-0013,Wood,Birch,kg,0.0302,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, birch, sustainable forest management-cleft timber, measured as dry mass"
Global,MAT-Wood-0014,Wood,Teak,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Global,MAT-Wood-0015,Wood,Ash,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Global,MAT-Wood-0016,Wood,Alder,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Global,MAT-Wood-0017,Wood,Rubberwood,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Global,MAT-Wood-0018,Wood,Rosewood,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
