Category,Sub Category,Use Case,
Furniture,Cafeteria & Dining Furniture,"✅ Suitable for dining tables, dining chairs, or complete sets intended for group dining in cafeterias, restaurants, or communal eating spaces.
❌ Not suitable for picnic tables with attached benches or meeting tables used for office settings.",
Furniture,Hotel Furniture,,
Furniture,Storage & Shelving,"✅ Suitable for cabinets, shelving units, and storage furniture designed to hold, organize, or display items in offices, workshops, or public spaces.
❌ Not suitable for built-in wall shelving or industrial racking systems.",
Furniture,Office Chairs,"✅ Suitable for chairs designed for office or workstation use, with features for comfort, adjustability, or ergonomics.
❌ Not suitable for meeting room chairs without ergonomic features or dining chairs.",
Furniture,Plastic Chairs,"✅ Suitable for standalone seating primarily made from plastic, for indoor or outdoor use, in various settings such as events, waiting areas, or casual seating.
❌ Not suitable for plastic office chairs with ergonomic features or plastic stools.",
Furniture,Stools,"✅ Suitable for upholstered seating designed for comfort, including multi-seat options with or without backrests, intended for lounge, reception, or residential use.
❌ Not suitable for wooden or metal benches used for dining or outdoor settings.",
Furniture,Sofas,"✅ Suitable for upholstered seating designed for one or more people, intended for comfort in lounges, receptions, or living areas.
❌ Not suitable for upholstered benches without backrests.",
Furniture,Office Desks,"✅ Suitable for desks designed for office or workstation use, with surfaces for computers, paperwork, or office equipment.
❌ Not suitable for dining tables, coffee tables, or meeting tables.",
Furniture,Coffee Tables,"✅ Suitable for low tables designed for placement in front of sofas or seating areas, typically for holding drinks, books, or decorative items.
❌ Not suitable for dining tables, side tables, or work desks.",
Furniture,Meeting Tables & Chairs,"✅ Suitable for standalone meeting tables, standalone meeting chairs, or coordinated sets intended for office or conference environments.
❌ Not suitable for dining furniture, picnic tables, or bar-height furniture.",
Furniture,Bar Tables & Chairs,"✅ Suitable for standalone bar tables, standalone bar stools/chairs, or coordinated bar-height sets used in hospitality, dining, or entertainment spaces.
❌ Not suitable for standard-height dining furniture, meeting tables, or coffee tables.",
Furniture,Table & Seating Sets,"✅ Suitable for packaged sets where a table is sold together with matching chairs or benches, intended for coordinated use in dining, meeting, or outdoor settings.
❌ Not suitable for standalone tables or seating sold separately.",
Furniture,Lockers & Cabinets,"✅ Suitable for personal or office storage furniture including lockers, filing cabinets, and wardrobe-style cabinets, typically used in offices, schools, gyms, and hospitality.
❌ Not suitable for industrial tool cabinets, heavy-duty workshop storage, or modular warehouse storage systems.",
Furniture,Media & TV Stands,"✅ Suitable for units specifically designed to support and organize TVs, media players, and related electronics, including storage for cables and accessories.
❌ Not suitable for general storage cabinets, office desks, or wall-mounted media panels.",
Furniture,Meeting Pods & Booths,"✅ Suitable for enclosed or semi-enclosed seating/work units designed to provide privacy or acoustic isolation for meetings or focused work.
❌ Not suitable for open meeting tables, standard office desks, or individual office cubicles without enclosed seating.",
Furniture,Picnic Tables & Benches,"✅ Suitable for standalone picnic tables, standalone picnic benches, or coordinated picnic-style sets intended for outdoor or casual communal dining.
❌ Not suitable for regular dining furniture, cafeteria sets, or decorative benches not intended for dining use.",
